Rank,Player,TOTAL,Play -in (4 pts) ,64 Teams (2 pts),32 Teams (4 pts), Sweet 16 (8pts),Elite 8 (16 pts), 'Final 4 (32 Pts), National Champion (64 pts),Wins, Loses,Winning %
1,jeff-Lew,56,4,52,0,0,0,0,0,27,6,0.818
1,Pac Man,56,8,48,0,0,0,0,0,26,10,0.722
1,S. Ho,56,8,48,0,0,0,0,0,26,10,0.722
1,Stanlee,56,8,48,0,0,0,0,0,26,10,0.722
1,S,56,12,44,0,0,0,0,0,25,11,0.694
6,Tatum,54,4,50,0,0,0,0,0,26,10,0.722
6,Sheaff-net,54,8,46,0,0,0,0,0,25,11,0.694
6,Gambler,54,12,42,0,0,0,0,0,24,12,0.667
9,Crystal,50,0,50,0,0,0,0,0,25,7,0.781
10,McGonegal,46,4,42,0,0,0,0,0,22,13,0.629
10,"Wallce, Bruce",46,4,42,0,0,0,0,0,22,14,0.611
10,The Commish,46,8,38,0,0,0,0,0,21,15,0.583
13,Doddy-dodds,36,4,32,0,0,0,0,0,18,18,0.500
